Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021;Part des employés dans le nb d’emplois au LT 2021;Part des ouvriers dans le nb d’emplois au LT 2021;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2021
1252;Mogneneins;16.7;33.3;8.3;25
1254;Montagnat;13;19.7;29.6;13.8
1255;Montagnieu;0;56.5;21.1;0
1257;Montanges;5.2;18.8;29.7;21.2
1258;Montceaux;7.4;30.7;24.1;8.5
1259;Montcet;0;10.9;33.7;44.4
1260;Le Montellier;0;11;10.9;0
1261;Monthieux;4.9;18.9;44.2;7.5
1262;Montluel;21;25.3;20.6;4.2
1263;Montmerle-sur-Saône;12.9;23.2;27.7;10.6
1264;Montracol;0;33.9;22.8;10
1265;Montréal-la-Cluse;9.7;20;38.6;7
1266;Montrevel-en-Bresse;10.4;41.4;19.3;7.4
1267;Nurieux-Volognat;14.3;7.7;45;6.9
1268;Murs-et-Gélignieux;0;0;40;40.5
1269;Nantua;16.6;30.9;23.5;7.5
1272;Neuville-les-Dames;4.3;37.2;13;21.7
1273;Neuville-sur-Ain;10.9;41.8;13.1;11.5
1274;Les Neyrolles;3.1;19.7;50.9;6.4
1275;Neyron;27.5;16.2;18;10.3
1276;Niévroz;13.5;25.4;23.7;20.4
1277;Nivollet-Montgriffon;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
1279;Oncieu;0;100;0;0
1280;Ordonnaz;0;0;0;0
1281;Ornex;11.5;37.6;19;7
1282;Outriaz;5.8;2.9;70.4;2.7
1283;Oyonnax;12;21.8;33.2;7.7
1284;Ozan;2.7;32.9;29.2;13.3
1285;Parcieux;26.3;21.9;17.6;17.7
1286;Parves et Nattages;17.9;26.7;27;9.8
1288;Péron;19.1;34.2;18.1;6.3
1289;Péronnas;7.8;26.1;22.5;7.5
1290;Pérouges;12.3;27.5;20.7;24.9
1291;Perrex;16.4;10;28.6;16.1
1293;Peyriat;0;37.6;0;41.7
1294;Peyrieu;8.4;35.9;25.6;13.7
1295;Peyzieux-sur-Saône;16.8;32.7;16.5;17
1296;Pirajoux;20.2;21.6;0;0
1297;Pizay;17.1;16.8;24.3;8.5
1298;Plagne;0;0;0;66.7
1299;Le Plantay;0;35.1;7.9;7.6
1301;Polliat;8.6;15.8;33.4;13.8
1302;Pollieu;0;0;0;0
1303;Poncin;14.7;19.6;32.6;8.5
1304;Pont-d'Ain;12.5;22.2;37;8.6
1305;Pont-de-Vaux;8.8;29.8;27.6;10.5
1306;Pont-de-Veyle;13.3;39.6;15.4;4.6
1307;Port;8.8;23.5;45.3;3.3
1308;Pougny;0;26.6;35.4;8.9
1309;Pouillat;0;0;0;100
1310;Prémeyzel;8.2;39.1;14.3;0
1311;Prémillieu;0;0;0;33.3
1313;Prévessin-Moëns;27.9;25.8;12.4;6
1314;Priay;15.2;17.8;21.8;28.5
1317;Ramasse;0;50.8;23.6;25.5
1318;Rancé;16.6;5.8;11.3;32.1
1319;Relevant;0;7.5;22.2;31.2
1320;Replonges;6.9;32.5;32.5;10.6
1321;Revonnas;8.3;8.6;0;23.7
1322;Reyrieux;16.5;24.3;30.7;5.7
1323;Reyssouze;5.2;4.7;27.4;23.7
1325;Rignieux-le-Franc;0;23;18.3;34.3
1328;Romans;12.6;46.1;7.7;7.5
1329;Rossillon;0;0;51;49
1330;Ruffieu;0;0;100;0
1331;Saint-Alban;0;0;0;100
1332;Saint-André-de-Bâgé;3.6;18.9;53.1;3.2
1333;Saint-André-de-Corcy;17.8;23.4;17.8;8.1
1334;Saint-André-d'Huiriat;12;29;0;14.7
1335;Saint-André-le-Bouchoux;6.9;12.9;42.7;6.9
1336;Saint-André-sur-Vieux-Jonc;11.1;22.5;41.5;0
1337;Saint-Bénigne;2.1;27.1;25.1;22.9
1338;Groslée-Saint-Benoit;8.4;13.7;24.3;19.3
1339;Saint-Bernard;10.3;47.1;7.5;12.4
1342;Sainte-Croix;26.3;20.9;10.6;21.2
1343;Saint-Cyr-sur-Menthon;6.6;4.3;60.1;5.7
1344;Saint-Denis-lès-Bourg;15.2;27.2;24.2;7.5
1345;Saint-Denis-en-Bugey;5;37.2;14.8;18.2
1346;Saint-Didier-d'Aussiat;7.4;7.2;30.1;20.7
1347;Saint-Didier-de-Formans;8.1;29;5.5;21.2
1348;Saint-Didier-sur-Chalaronne;9.3;16.3;39;12.2
1349;Saint-Éloi;0;38.6;9.6;22.2
1350;Saint-Étienne-du-Bois;5;30;30.8;7.7
1351;Saint-Étienne-sur-Chalaronne;11.5;28.6;31.4;20.1
1352;Saint-Étienne-sur-Reyssouze;0;17.4;16.9;32.3
1353;Sainte-Euphémie;5;30.8;20;21.6
1354;Saint-Genis-Pouilly;17.7;30.2;16.1;7.4
1355;Saint-Genis-sur-Menthon;17.5;8.7;14.4;17.4
1356;Saint-Georges-sur-Renon;19;21.1;0;0
1357;Saint-Germain-de-Joux;21.8;16.9;22.5;5.5
1358;Saint-Germain-les-Paroisses;0;50.2;0;24.8
1359;Saint-Germain-sur-Renon;0;37.5;0;0
1360;Saint-Jean-de-Gonville;9.9;28.5;22.8;15.8
1361;Saint-Jean-de-Niost;9.3;21;11.5;30.9
1362;Saint-Jean-de-Thurigneux;4.9;30.1;9.6;30.1
1363;Saint-Jean-le-Vieux;2.1;19.3;34.4;15.2
1364;Saint-Jean-sur-Reyssouze;7.2;18.1;17.8;3.6
1365;Saint-Jean-sur-Veyle;2.6;24.2;43.1;3.5
1366;Sainte-Julie;59.4;12.8;6.6;1.7
1367;Saint-Julien-sur-Reyssouze;5.4;18.2;39.1;10.2
1368;Saint-Julien-sur-Veyle;0;21.2;29.4;14.1
1369;Saint-Just;6.4;26.3;44.1;2.9
1370;Saint-Laurent-sur-Saône;6.7;37.5;16.3;15
1371;Saint-Marcel;6.6;52.9;6.6;6.5
1372;Saint-Martin-de-Bavel;13.9;29.6;22;7
1373;Saint-Martin-du-Frêne;6.8;13.5;55.4;5.6
1374;Saint-Martin-du-Mont;3.8;14.5;43.8;11.3
1375;Saint-Martin-le-Châtel;0;14.7;26.1;15.1
1376;Saint-Maurice-de-Beynost;22.6;15.4;25.4;7.1
1378;Saint-Maurice-de-Gourdans;4.9;29.8;20.3;20.8
1379;Saint-Maurice-de-Rémens;15.7;37.2;9.8;11.3
1380;Saint-Nizier-le-Bouchoux;0;24.6;20.9;13.9
1381;Saint-Nizier-le-Désert;0;28.5;29.5;9
1382;Sainte-Olive;8.2;0;32.2;29.5
1383;Saint-Paul-de-Varax;0;37;28.4;8.5
1384;Saint-Rambert-en-Bugey;7.6;38.6;26;8.2
1385;Saint-Rémy;5.8;15.3;47.4;11.7
1386;Saint-Sorlin-en-Bugey;21.8;19.7;20.4;9.1
1387;Saint-Sulpice;0;25;0;75
1388;Saint-Trivier-de-Courtes;11;34.7;29.5;2.5
1389;Saint-Trivier-sur-Moignans;16;28.7;19.1;6.8
1390;Saint-Vulbas;14.7;10.7;40.9;1.5
1391;Salavre;5.7;0;55.3;15.9
1392;Samognat;0;83.1;0;0
1393;Sandrans;16.2;25.9;15.9;10.7
