GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
2A174;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;130.446
2B007;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;332.319
2B020;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;636.871
2B234;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;45.5263
2B235;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;137.35
2B009;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1401.3
2B236;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;229.525
2A191;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;109.992
2B023;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;212.154
2A211;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;569.22
2B250;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;164.348
2B238;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;194.131
2A212;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;697.132
2B251;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2242.57
2B025;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;108.417
2B239;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;225.133
2B252;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;169.404
2A215;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1108.27
2A001;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1671.04
2A196;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;104.519
2B255;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;59.7674
2B029;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;229.254
2B256;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;40.456
2B042;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;5683.27
2A197;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;238.765
2B257;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;152.276
2A198;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;727.103
2B043;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1516.99
2A004;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;35804.2
2A232;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;319.647
2A006;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1541.17
2B045;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;72.0295
2B273;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;55.13008
2B046;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;257.863
2A021;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;144.442
2B047;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;396.954
2B274;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;98.6739
2A008;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1731.71
2B275;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;80.4366
2A022;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;80.0556
