GEO,nb_logements_sociaux
01104,44.15216
01105,104.97386
01106,63.80432
01107,33.38181
01108,64.51263
01109,171.68725
01110,101.94831
01111,174.79561
01112,67.02864
01113,74.67779
01114,94.60336
01115,119.25184999999999
01116,46.99504
01117,55.467459999999996
01118,79.63022
01119,149.7881
01120,67.39195
01121,154.17563
01122,43.64922
01123,98.27471999999999
01124,278.89214
01125,244.18319
01126,111.59153
01127,235.89675
01128,251.09862
01129,354.41276999999997
01130,285.7403
01133,9.12632
01134,25.95973
01135,25.35896
01136,9.59036
01138,479.91463
01139,10.05876
01140,14.71436
01141,5.79922
01142,104.72763
01143,588.2153900000001
01145,34.68939
01146,2.02389
01147,13.07107
01148,66.43936
01149,13.14688
01150,4.01869
01151,22.67561
01152,9.7775
01153,14.09222
01155,2.0
01156,10.87171
01157,38.79175
01158,18.49818
01159,82.00425
01160,2242.02171
01163,44.8429
01165,13.27516
01166,31.35565
01167,16.54737
01169,4.42127
01170,16.14672
01171,8.54327
01173,1016.40569
01174,3.0
01175,17.15992
01177,2.01093
01179,39.06538
01180,10.21085
01181,15.73403
01183,15.77903
01184,16.23414
01185,850.28676
01187,8.26665
01188,1.96454
01189,14.4978
01190,2.81053
01191,1.91358
01192,54.49239
01193,5.26615
01194,299.82972
01195,18.67709
01196,12.56861
01197,5.85012
01198,4.19163
01199,85.69656
012,81312.31934999999
01200,6.89862
01201,97.76993
01202,883.6968400000001
01203,308.61132999999995
01204,393.00368000000003
01205,289.00227
01206,7.93579
01207,1.01065
01208,5.03704
01209,12.85059
01210,15.29625
01211,35.52421
01212,10.85584
01213,19.13633
01214,2.02484
01215,1.02174
01216,14.93413
01219,6.95732
01224,57.99261
01225,1.93881
01227,9.41506
01228,10.94061
01229,50.57729
01230,7.44035
01231,44.92656
01232,64.07025
01233,1.92701
01234,4.94083
01235,47.48265
01236,17.18047
01237,15.91529
01238,36.94634
01239,7.64983
01240,11.97499
01241,25.6523
01242,3.02222
01243,14.65314
01244,988.8014900000001
01245,11.83114
01246,60.02017
01247,2.02183
01248,22.69132
01249,470.55628
01250,19.45362
01252,15.31827
01254,13.17674
01255,15.15364
01257,3.10617
01258,12.57951
01259,7.1851
01261,15.46534
01262,1062.35916
01263,131.38101
01264,25.48394
01265,866.68659
01266,647.8641299999999
01267,23.12623
01268,6.09601
01269,246.96624
01272,52.79679
01273,22.30047
01274,18.79458
01275,38.76537
01276,13.53093
01277,2.89916
01279,4.34524
01280,0.93377
01281,169.75478
01282,9.61413
01283,4727.57061
01284,8.60071
01285,9.79371
01286,18.21611
01288,41.37187
01289,246.15803
01290,45.26511
01291,7.38128
01293,3.86928
01294,9.85769
01295,3.77814
01296,1.95161
01297,9.64748
01298,2.14667
01299,6.85938
013,56572.6909
01301,783.49335
01302,444.02807
01303,1200.8137100000001
01304,230.42561
01305,847.08731
01306,65.49828
01307,26.25847
01308,14.33719
01309,1.05195
01311,1.0
01313,183.92786
01314,53.40206
01317,5.95165
01318,4.31572
01319,2.01753
01320,67.39195
01321,8.57895
01322,64.929
01323,17.34281
01325,13.84307
01328,18.67039
01329,2.92683
01330,4.91667
01331,3.0
01332,9.7873
01333,291.29402
01334,3.26293
01336,18.49875
01337,23.80231
01338,19.4958
01339,24.33967
01342,6.14677
01343,25.97907
01344,227.68955
01345,67.02901
01346,18.36754
01347,11.57817
01348,82.52692
01349,4.06217
01350,83.539
01351,33.49553
01352,10.42036
01353,24.51105
01354,1605.45065
01355,3.9205
01357,23.97965
01358,10.15516
01359,2.92915
01360,22.54526
01361,15.32534
01362,5.03333
01363,67.47045
01364,17.12426
01365,20.79657
01366,12.53147
01367,26.16449
01368,6.76441
01369,10.22907
01370,143.60105
01371,13.07619
01372,6.4343
01373,32.73358
01374,46.70267
01375,10.35659
01376,190.6321
01378,27.54848
01379,17.13332
01380,21.33785
01381,4.60848
01382,3.75295
01383,50.00218
01384,154.38114
01385,8.39735
01386,29.93366
01387,3.04688
01388,55.67664
01389,41.11777
01390,22.15162
01391,5.81839
01392,3.32959
01393,7.64196
01396,45.8475
01397,6.24626
01398,17.04561
01399,49.1306
014,65921.15483
01400,2.04478
01401,569.97574
01402,2420.4217399999998
01403,68.87049
01404,3.97037
01405,22.87146
01406,2.01149
01407,50.41523
01408,13.42671
01410,3.29644
01411,5.69612
01412,3.57752
01415,7.12358
01416,71.9055
01418,7.26094
01419,133.24359
01420,140.11155
01421,26.26562
01422,30.8417
01423,4.85144
01424,13.53694
01425,0.98208
01426,56.17008
01427,284.64402
01428,1.03968
01429,10.14047
01430,12.21237
01431,26.35505
01432,11.18016
01434,3.03013
01435,19.29466
01436,6.06836
01437,1.96413
01441,8.1112
01443,563.79336
01444,28.40304
01445,6.70685
01446,17.8816
01447,32.33618
01448,8.93568
01449,13.66231
01450,52.5072
01451,174.56031
01452,51.74556
01453,21.73891
01454,13.39039
01456,5.0
01457,395.29561
015,63618.15901
01501,5280.13041
017,77754.65882
018,48062.98243
019,40818.36523
02,81231.03008
020,49006.20237
02001,11.80517
02002,13.91917
02003,36.7257
02004,7.03784
02005,4.13921
02006,14.08935
02007,4.0678
02008,3.74774
02009,11.3304
0201,7019.15913
02011,24.11233
02012,1.09859
02013,9.42869
02014,12.18462
02016,2.94444
02017,4.58387
02018,128.78726
02019,10.80242
0202,19437.78787
02020,18.02062
02021,7.18182
02022,8.26157
02024,3.13333
02025,5.96146
02027,7.70093
02028,92.14612
02029,7.21054
0203,2724.15568
02030,10.7556
02031,40.77977
02032,10.69264
02033,1.92381
02034,5.57692
02035,10.36847
02036,5.83333
02037,41.0964
02038,6.88889
02039,5.9367
0204,2966.70417
02040,5.93258
02041,21.84199
02042,7.96803
02043,2.90769
02044,1.04167
02046,16.53256
02047,5.0
02048,3.04688
02049,26.39319
0205,5266.30233
02050,8.06271
02051,10.95432
02052,6.63971
02053,7.05347
02054,16.02882
02055,2.89888
02056,4.19048
02057,84.06341
02058,19.70978
02059,249.9349
0206,5480.44337
02060,7.35456
02061,4.80513
02062,2.01504
02063,14.39217
02064,251.03753
02065,17.07356
02066,2.92347
02067,2.98565
02068,6.60227
02069,1.96262
02070,20.32487
02071,13.59926
02073,10.97686
02074,13.22552
02075,1.96939
02076,3.82051
02078,3.05488
02079,7.5303
02080,4.39074
02081,4.73615
02082,2.825
02083,17.64706
02084,6.49768
02085,7.34126
02086,25.00008
02088,2.1
02089,56.95862
02090,3.06154
02091,0.96842
02093,36.28646
02094,14.09191
02095,2467.13962
02096,10.15957
02097,7.13779
02098,5.80408
02099,2.86425
021,3977.44974
02100,4.02899
02101,161.73046
02102,153.00356
02103,197.83812
02104,124.29308
02105,49.17439
02106,242.98403
02107,98.31099
02108,133.71291
02109,278.44736
02110,254.72323
02111,162.95385000000002
02112,247.67895
02113,240.50553
02114,358.05896
02115,183.16078000000002
02116,281.73496
02117,332.34061
02118,233.40819
02119,676.12865
02120,4.97449
02121,5.42857
02122,3.0
02123,6.8706
02124,30.04509
02125,1.97718
02126,29.65711
02127,4.97396
02128,47.88503
02129,1.0
02130,5.88235
02131,45.7609
02132,3.83756
02133,27.32429
02134,33.74866
02135,54.15584
02136,0.96875
02137,4.30534
02138,4.38857
02139,7.89075
02140,9.07097
02141,140.26062
02142,3.02429
02143,8.95161
02144,5.91667
02145,7.99021
02146,4.44944
02148,6.1273
02149,2.95
02150,1.0
02151,3.0
02152,0.97753
02153,10.98314
02154,12.40007
02155,5.69543
02156,6.92222
02157,16.11999
02158,5.18174
02159,4.9261
02160,22.92398
02162,9.977
02163,678.41626
02164,9.05121
02165,82.05983
02166,8.14593
02167,21.54399
02168,4821.0296
02169,1.01205
02170,4.0
02171,1.02273
02172,3.012
02173,3334.46497
02174,14.84429
02175,2.08861
02176,3.01456
02177,2.07194
02178,0.90551
02179,11.06701
02180,14.14592
02181,6.56701
02182,1.77941
02183,6.0
02184,9.99927
02185,15.81293
02186,69.0724
02187,39.15146
02188,5.07092
02189,14.91603
02190,16.70447
02191,6.75358
02192,6.18022
02193,3.09375
02194,9.20809
02195,12.42974
02196,4.0006
02197,5.20593
02198,8.62963
02199,16.31626
022,46768.668659999996
02200,4.76415
02201,779.5327599999999
02202,417.49613
02203,1247.44749
02204,4.92188
02205,2.91781
02206,3.08451
02207,5.02304
02208,3.13078
02209,36.55284
02210,12.373
02211,2.95243
02212,16.23355
02213,5.41224
02214,1.0
02215,21.21295
02216,2.07107
02217,48.7546
02218,17.60559
02219,4.97364
02220,9.10279
02221,3.03896
02222,1.89744
02223,10.34345
02224,5.76691
02225,4.04878
02226,68.82613
02227,8.06667
02228,2.8936
02229,4.05405
02230,5.17241
02231,18.7753
02232,6.00553
02233,1.09449
02234,4.94048
02235,3.0
02236,4.13078
02237,100.1589
02238,79.83905
02239,49.77942
02240,9.69697
02241,2.96566
02242,25.66357
02243,161.56925
02245,166.30044
02246,15.41758
02248,3.97436
02249,2.97059
02251,0.96296
02252,3.0
02253,12.25768
02254,0.97692
02255,4.10458
02256,5.20325
02257,10.1314
02258,13.12251
02259,2.1186
02260,23.884
02261,9.07703
02262,4.90521
02263,4.03571
02264,38.67622
02265,6.43902
02266,2.66667
02267,9.10164
02268,12.96743
02269,3.08108
02270,9.11043
02271,1.9403
02272,3.04
02273,4.92462
02274,4.46341
02275,21.35582
02276,2.87705
02277,4.04609
02279,12.18394
02280,6.89265
02281,4.19709
02282,9.98773
02283,12.24043
02284,1.04082
02286,30.65281
02287,21.82906
02288,16.88832
02289,7.97295
02290,89.96894
02291,11.03141
02292,64.36511
02293,8.26496
02294,5.97115
02295,45.67759
02296,41.90458
02298,90.46368
02299,19.39422
023,55522.65961
02301,884.11642
02302,1558.3615300000001
02303,13.8338
02304,392.00524
02305,545.0469899999999
02306,20.65321
