C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6;AAV2020
1314.13;1923.69;5113.67;6179.04;172
1321.1;2303.25;5426.13;9129.57;173
2135.46;2846.67;5576.75;5607.04;174
1570.49;1777.37;5450.01;5271.78;175
1013.88;1479.7;5053.47;4722.22;176
1125.32;2077.47;5236.53;5026.69;177
1029.84;2127.57;4973.61;5311.21;178
1246.21;1911.62;5650.64;3677.52;179
1771.02;1682.13;5453.66;6269.21;180
1204.47;2138.45;5578.5;7088.48;181
1222.77;2508.1;5008.89;4462.09;182
992.486;1902.82;4735.52;4300.32;183
841.455;1771.75;6535.15;6200.63;184
1327.78;2619.35;4276.72;3949.64;185
1583.33;1986.05;5027.58;3721.26;186
1552.98;2542.55;5420.23;4756.52;187
1377.76;1988.49;4731.86;5497.11;188
1313;1741.28;4340.85;6920.05;189
1446.67;2260.86;4151.85;4194.62;190
905.749;1584.47;4447.68;8192.49;191
1774.07;1609.75;4646.01;4502.22;192
1056.43;1756.27;5876.59;4417.69;193
1257.66;1730.79;5443.99;5075.47;194
1518.74;1635.82;4976.15;3266.99;195
1036.89;1653.6;4052.72;4667.4;196
737.333;1448.93;4359.69;4360.88;197
1144.2;1424.4;4436.23;5886.45;198
1505.38;1891.54;5990.45;3641.9;199
1275.11;2041.04;4104.28;2371.29;200
1664.25;2061.53;3891.53;4442.11;201
1392.03;2457.61;4710.94;7250.56;202
1413.58;1363.74;4660.13;4605.74;203
1057.33;1367.18;4684.34;4749.94;204
1448.12;1670.81;4287.41;4191.91;205
1082.95;1530.78;5322.38;3049.57;206
1036.86;1431.87;4309.43;4940.69;207
880.479;1278.92;4080.57;3727.33;208
952.966;1644.32;4312.11;4414.25;209
1305.52;1711.32;4376.04;3995.75;210
1437.78;2116.59;4120.96;1947.43;211
1251.17;1326.27;4859.22;7046.84;212
1524.31;1396.86;4032.35;3121.79;213
1131.69;1585.89;3725.93;3909.44;214
995.829;1293.35;3934.94;3621.46;215
756.154;1006.47;3808.19;3955.64;216
908.304;1100.37;3885.28;5285.28;217
763.765;1097.57;3668.01;4211.67;218
811.859;1312.27;3670.34;4428.82;219
817.68;1232.16;3781.31;3364.18;220
632.329;832.543;4067.34;3903.34;221
1061.14;1172;3454.69;3224.36;222
778.239;1109.43;3552.65;3607.68;223
1269.33;1457.4;4189.17;3108.36;224
1192.19;1051.52;3401.82;4017.27;225
1257.03;1940.66;3413.42;2940.6;226
